"David Bishop","Q75996247","2019 United Kingdom general election","Broxtowe","Church of the Militant Elvis Party"
"Jim Clarke",,,,
"Marianne Overton","Q63929011","2019 European Parliament election in East Midlands","East Midlands","Independent Network"
"Marianne Overton","Q63929011","2019 United Kingdom general election","Sleaford and North Hykeham","Lincolnshire Independents"
"Mark Suffield",,,,
"Paul Coyne",,,,
"Ross Pepper","Q75838735","2019 United Kingdom general election","Louth and Horncastle","Liberal Democrats"
"Sarah Stock",,,,
"The Iconic Arty-Pole","Q76130624","2019 United Kingdom general election","Louth and Horncastle","Official Monster Raving Loony Party"
"Victoria Ayling",,,,
